TRACKINGNUMBER,ORDERNUMBER,DATE,RECEIVER,COST,WEIGHT,RECEIVERORDERNUMBER
1Z9842480340047333,319810,,,,,
1Z9842486641115416,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342996564,,,,,,
1Z9842480342825668,319740,,,,,
1Z9842480342825668,319740,,,,,
1Z9842480342825668,319740,,,,,
1Z9842480342825668,319740,,,,,
1Z9842480342825668,319740,,,,,
1Z9842480342825668,318072-5,,,,,
1Z9842480342825668,318369-1,,,,,
1Z9842480342825668,319917,,,,,
1Z9842480342825668,319918,,,,,
1Z9842480342825668,319739,,,,,
1Z9842480341847191,320075,,,,,
1Z9842480341679202,320112,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340782691,320107,,,,,
1Z9842480340376728,320051,,,,,
1Z9842480340376728,320051,,,,,
1Z9842480340376728,320051,,,,,
1Z9842480340376728,320051,,,,,
1Z9842480340376728,320051,,,,,
1Z9842480340376728,320052,,,,,
1Z9842480340376728,319451-2,,,,,
1Z9842480340376728,319740-1,,,,,
1Z9842480340376728,319739-1,,,,,
1Z9842480340376728,319091-1,,,,,
1Z9842480340394717,320559,,,,,
1Z9842480340077926,320346-1,,,,,
1Z9842480340077926,319091-2,,,,,
1Z9842480340077926,320052-1,,,,,
1Z9842480340077926,320347,,,,,
1Z9842480340077926,319740-2,,,,,
1Z9842480340077926,320051-1,,,,,
1Z9842480340077926,320346,,,,,
1Z9842480340077926,320346,,,,,
1Z9842480340077926,320346,,,,,
1Z9842480340077926,320346,,,,,
1Z9842480342753094,320813,,,,,
1Z9842480342194028,320749,,,,,
1Z9842480342194028,320749,,,,,
1Z9842480342194028,320749,,,,,
1Z9842480342194028,320749,,,,,
1Z9842480342194028,320749,,,,,
1Z9842480340557541,319091-3,,,,,
1Z9842480340557541,320051-2,,,,,
1Z9842480340557541,320052-2,,,,,
1Z9842480340557541,318849-3,,,,,
1Z9842480340557541,320346-2,,,,,
1Z9842480340557541,320675,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480340557541,320674,,,,,
1Z9842480341164633,321086,,,,,
1Z9842480342043048,321085,,,,,
1Z9842480341626054,321084,,,,,
1Z9842480340189663,321083,,,,,
1Z9842480342569874,321087,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480341203206,321064,,,,,
1Z9842480342870529,321173,,,,,
1Z9842480340113332,321303,,,,,
1Z9842480340113332,321303,,,,,
1Z9842480340113332,321303,,,,,
1Z9842480340113332,321303,,,,,
1Z9842480340113332,321303,,,,,
1Z9842480340113332,321303,,,,,
1Z9842480340113332,320052-3,,,,,
1Z9842480340113332,321302,,,,,
1Z9842480340113332,320051-4,,,,,
1Z9842480340113332,319739-2,,,,,
1Z9842480340113332,320346-3,,,,,
1Z9842480340113332,319450-1,,,,,
1Z9842480340113332,321303-1,,,,,
1Z9842480340113332,320674-1,,,,,
1Z9842480341406658,321693,,,,,
1Z9842480341406658,321693,,,,,
1Z9842480341406658,321693,,,,,
1Z9842480341406658,321693,,,,,
1Z9842480341406658,321693,,,,,
1Z9842480341406658,321693,,,,,
1Z9842480341406658,321693,,,,,
1Z9842486842669751,321741,,,,,
1Z9842480340832921,321602,,,,,
1Z9842480340832921,321602,,,,,
1Z9842480340832921,321602,,,,,
1Z9842480340832921,321602,,,,,
1Z9842480340832921,321602,,,,,
1Z9842480340832921,319448-2,,,,,
1Z9842480340832921,319448-2,,,,,
1Z9842480340832921,319448-2,,,,,
1Z9842480340832921,319448-2,,,,,
1Z9842480340832921,319448-2,,,,,
1Z9842480340832921,321775,,,,,
1Z9842480340832921,320048-3,,,,,
1Z9842480340832921,321299-1,,,,,
1Z9842480340832921,321602-1,,,,,
1Z9842480340832921,321017-1,,,,,
1Z9842480340053077,321606,,,,,
1Z9842480340053077,321606,,,,,
1Z9842480340053077,321606,,,,,
1Z9842480340053077,321606,,,,,
1Z9842480340053077,321606,,,,,
1Z9842480340053077,321606,,,,,
1Z9842480340053077,321776,,,,,
1Z9842480340053077,321303-2,,,,,
1Z9842480340053077,321605,,,,,
1Z9842480340053077,321607,,,,,
1Z9842480340053077,321021-1,,,,,
1Z9842480340053077,321302-1,,,,,
1Z9842480340053077,321605-1,,,,,
1Z9842480340053077,317218-6,,,,,
1Z9842480340053077,317728-4,,,,,
1Z9842480340053077,321777,,,,,
1Z9842480340053077,321606-1,,,,,
1Z9842480340053077,321020-1,,,,,
1Z9842480340053077,319451-4,,,,,
1Z9842480340053077,320674-2,,,,,
1Z9842480342423271,321979,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321637-1,,,,,
1Z9842480340859608,321497-1,,,,,
1Z9842480340859608,321774-1,,,,,
1Z9842480340859608,321773-1,,,,,
1Z9842480340859608,322008,,,,,
1Z9842480340859608,318479-5,,,,,
1Z9842480340859608,321968,,,,,
1Z9842480340859608,321969,,,,,
1Z9842480340859608,321015-1,,,,,
1Z9842480340859608,322009,,,,,
1Z9842480340859608,321967,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
